Conta: 103166893
Titular: Wesley Gomes Da Silva
Data Inicial: 03/02/2026
Data Final: 04/05/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WDOM26;05/02/2026 17:00:00;06/02/2026 15:00:00;22h;1;1;C;5.411,00;5.360,00;5.005,00;Não;-510,00;-51,00;1;-510,00;-51,00;0,00;0,00;0,00; - ;-510,00
WDOM26;11/02/2026 13:00:00;11/02/2026 15:00:00;2h;1;1;V;5.301,50;5.306,50;5.005,00;Não;50,00;5,00;2;50,00;5,00;0,00;0,00;0,00;5d20h;-460,00
WDOM26;12/02/2026 16:00:00;20/02/2026 17:00:00;8d1h;1;1;C;5.333,00;5.295,00;5.005,00;Sim;-380,00;-38,00;3;-380,00;-38,00;0,00;0,00;0,00;1d3h;-840,00
WDOM26;24/02/2026 17:00:00;25/02/2026 09:00:00;16h;1;1;V;5.240,00;5.269,50;5.005,00;Não;295,00;29,50;4;295,00;29,50;0,00;0,00;0,00;12d1h;-545,00
WDOM26;25/02/2026 10:00:00;25/02/2026 11:00:00;1h;1;1;V;5.254,00;5.234,00;5.005,00;Não;-200,00;-20,00;5;-200,00;-20,00;0,00;0,00;0,00;17h;-745,00
WDOM26;03/03/2026 12:00:00;03/03/2026 14:00:00;2h;1;1;C;5.426,00;5.400,00;5.005,00;Não;-260,00;-26,00;6;-260,00;-26,00;0,00;0,00;0,00;6d2h;-1.005,00
WDOM26;09/03/2026 10:00:00;09/03/2026 15:00:00;5h;1;1;V;5.310,00;5.334,00;5.005,00;Sim;240,00;24,00;7;240,00;24,00;0,00;0,00;0,00;5d22h;-765,00
WDOM26;09/03/2026 17:00:00;10/03/2026 10:00:00;17h;1;1;V;5.272,50;5.272,00;5.005,00;Não;-5,00;-0,50;8;-5,00;-0,50;0,00;0,00;0,00;7h;-770,00
WDOM26;10/03/2026 12:00:00;10/03/2026 17:00:00;5h;1;1;V;5.254,50;5.248,00;5.005,00;Não;-65,00;-6,50;9;-65,00;-6,50;0,00;0,00;0,00;19h;-835,00
WDOM26;12/03/2026 10:00:00;12/03/2026 13:00:00;3h;1;1;C;5.252,50;5.297,00;5.005,00;Sim;445,00;44,50;10;445,00;44,50;0,00;0,00;0,00;1d22h;-390,00
WDOM26;12/03/2026 17:00:00;16/03/2026 10:00:00;3d17h;1;1;C;5.341,00;5.350,50;5.005,00;Não;95,00;9,50;11;95,00;9,50;0,00;0,00;0,00;7h;-295,00
WDOM26;16/03/2026 16:00:00;17/03/2026 16:00:00;1d;1;1;V;5.288,50;5.317,00;5.005,00;Sim;285,00;28,50;12;285,00;28,50;0,00;0,00;0,00;3d23h;-10,00
WDOM26;18/03/2026 11:00:00;23/03/2026 12:00:00;5d1h;1;1;C;5.295,00;5.303,00;5.005,00;Sim;80,00;8,00;13;80,00;8,00;0,00;0,00;0,00;1d19h;70,00
WDOM26;24/03/2026 10:00:00;24/03/2026 16:00:00;6h;1;1;C;5.338,50;5.335,00;5.005,00;Não;-35,00;-3,50;14;-35,00;-3,50;0,00;0,00;0,00;5d23h;35,00
WDOM26;25/03/2026 09:00:00;25/03/2026 10:00:00;1h;1;1;V;5.305,00;5.293,00;5.005,00;Não;-120,00;-12,00;15;-120,00;-12,00;0,00;0,00;0,00;23h;-85,00
WDOM26;25/03/2026 14:00:00;25/03/2026 16:00:00;2h;1;1;V;5.294,00;5.295,00;5.005,00;Sim;10,00;1,00;16;10,00;1,00;0,00;0,00;0,00;5h;-75,00
WDOM26;26/03/2026 14:00:00;26/03/2026 18:00:00;4h;1;1;C;5.319,00;5.312,00;5.005,00;Sim;-70,00;-7,00;17;-70,00;-7,00;0,00;0,00;0,00;1d;-145,00
WDOM26;30/03/2026 10:00:00;30/03/2026 11:00:00;1h;1;1;V;5.312,50;5.295,00;5.005,00;Não;-175,00;-17,50;18;-175,00;-17,50;0,00;0,00;0,00;3d20h;-320,00
WDOM26;31/03/2026 11:00:00;31/03/2026 12:00:00;1h;1;1;V;5.290,00;5.281,00;5.005,00;Não;-90,00;-9,00;19;-90,00;-9,00;0,00;0,00;0,00;1d1h;-410,00
WDOM26;31/03/2026 14:00:00;01/04/2026 10:00:00;20h;1;1;V;5.238,50;5.263,00;5.005,00;Não;245,00;24,50;20;245,00;24,50;0,00;0,00;0,00;3h;-165,00
